Path,Name,ExactName,Features,Options,Occupied,Virtual,HomoOrbital,Dipole,Energy,Excited,Time
,4bb_CPC_C_4bb,4bbA_CPC_C_4bbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2006580398,-2.1630329029,151,2.0092,-8511.2526111,---,21.8
,A_TSN_A_A,A_TSN_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2588904013,-1.5548584737,49,0.0006,-1213.1486813,---,0.6
,A_TSN_555b_A,A_TSN_5aa5aa5bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2221366763,-2.3714721033,204,0.0018,-6362.3850011,---,64.8166666667
,TSP_m4,A_TSP__A_n1_m4_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7462279294,-2.0490172045,225,0.0011,-7141.7376762,---,81.8
,4_TON_4_n2,4aa_TON_A_4aa_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5878576753,-2.1551416016,161,0.0027,-2057.4750519,---,42.6
,9_TON_4_9,9A_TON_4aaA_9A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0164186143,-1.8024820668,153,0.0008,-2588.5926003,---,6.6
,66h_CSP_A_66h,6aa6hhA_CSP_A_6aa6hhA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.9078451927,-2.4237179603,153,5.4788,-2996.146062,---,16.8833333333
,4_TSP_4_n2,4aa_TSP_A_4aa_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4169701847,-2.4256227572,193,0.0028,-4495.7090773,---,73.8166666667
,A_CON_444h_A,A_CON_4aa4aa4hhA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.636003468,-1.7575832834,177,5.5831,-2174.9431855,---,33.6333333333
,A_TON_555d_A,A_TON_5aa5aa5ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4539776668,-3.1031862152,191,0.0027,-4247.0429132,---,10.4666666667
,7_CON_A_A,7aaA_CON_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7089483335,-1.7175825492,84,2.3197,-1067.4393127,---,3.7833333333
,5dd5ddD_TON_5hhH_5dd5ddD,5dd5ddD_TON_5hhH_5dd5ddD_n1_m1_x1_y1_z1,,---,-4.4136864619,-3.9720457018,251,3.3542,---,---,23.55
,4_TON_5_4,4aaA_TON_5aaA_4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1508428506,-2.1015351754,123,0.0053,-2132.9617588,---,5.2333333333
,A_TSN_555d_A,A_TSN_5aa5aa5ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5924836106,-2.9244074233,199,0.0028,-4892.9825035,---,62.8
,A_CON_444e_A,A_CON_4aa4aa4eeA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4580593743,-1.8642519082,185,2.3572,-2258.1124858,---,67.1666666667
,A_TON_3_A_m2,A_TON_3_A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.706499309,-2.6438580557,105,0.0021,-1437.7952521,---,32.9
,A_TSN_555i_A,A_TSN_5aa5aa5iiA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.929342186,-2.0683372871,191,0.0116,-4681.2941788,---,32.6333333333
,A_CON_444b_A,A_CON_4aa4aa4bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5786058048,-1.9350015062,190,2.3152,-3791.9124279,---,47.8666666667
,4fa_CPC_C_4fa,4faA_CPC_C_4faA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4681275864,-1.6718674243,130,1.9062,-6823.3155728,---,38.1
,CSP_8_n2,_CSP_A_8_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9470479423,-3.4133959912,153,4.2164,-4161.7527235,---,7.6166666667
,7777_TON_A_7777,7aa7aa7aa7aaA_TON_A_7aa7aa7aa7aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0357386969,-2.0174519993,385,0.0015,-4569.0564408,---,27.5833333333
,D_TON_H_D,D_TON_H_D_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6313958895,-2.658552203,61,1.3473,-862.3691194,---,1.9333333333
,7_CON_7_n2,7aa_CON_A_7aa_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3543840018,-1.9458860597,253,4.33,-3134.1739828,---,81.2666666667
,C_CPC_4hg_C,C_CPC_4hgA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8602436278,-1.7652024709,146,3.5956,-7579.9443484,---,58.8333333333
,A_CSP_5555h_A,A_CSP_5aa5aa5aa5hhA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.7693392489,-1.8607144282,241,5.3145,-6422.2368764,---,94.5666666667
,4c_TON_A_4c,4ccA_TON_A_4ccA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0841933169,-2.3320155967,146,0.0016,-11313.7295346,---,16.8666666667
,C_CPC_4ab_C,C_CPC_4abA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.1707255176,-1.871326868,136,2.6767,-7592.0564331,---,55.25
,A_CON_44d_A,A_CON_4aa4ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0841933169,-2.6204562656,145,2.4202,-1860.3852674,---,36.05
,A_TOP_666d_A,A_TOP_6aa6aa6ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.1688207207,-2.8229089615,193,0.0059,-2991.8854789,---,46
,A_TON_999_A,A_TON_999A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.523076225,-1.5962197771,257,0.0017,-5245.0945273,---,146.416666667
,4444_TON_A_4444,4aa4aa4aa4aaA_TON_A_4aa4aa4aa4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3301658702,-2.1194946887,201,0.0089,-2415.6630134,---,7.4166666667
,A_CSP_444g_A,A_CSP_4aa4aa4ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4977879948,-1.7529573482,209,0.1593,-4765.4017923,---,80.1
,5b_CPC_A_5b,5bbA_CPC_A_5bbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.777248907,-2.1450733896,120,2.3796,-4010.5463148,---,22.2
,C_CPC_4ca_C,C_CPC_4caA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9971168886,-1.6808471809,154,5.9273,-11815.0731128,---,48.1833333333
,A_TSP_444b_A,A_TSP_4aa4aa4bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.544591575,-1.8800345108,206,0.0055,-5011.0414003,---,57.55
,A_CSP_8_A_m2,A_CSP_8_A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0675943728,-3.4514919286,193,0.3391,-4751.9778734,---,78.9833333333
,A_TOC_A_A,A_TOC_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.537788729,-0.7986541162,41,0.0003,-535.0965279,---,0.3833333333
,A_CON_666d_A,A_CON_6aa6aa6ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2656932473,-2.8873999412,185,2.4756,-2418.7119631,---,56.5
,C_CPC_4ff_C,C_CPC_4ffA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5824153986,-1.4930886323,138,2.8243,-6973.722798,---,31.3666666667
,5dd5ddD_TON_5hh5hhA_5dd5ddD,5dd5ddD_TON_5hh5hhA_5dd5ddD_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.9113826726,-3.9622496036,301,4.1584,-6346.882675,---,226.2
,5_TON_3_5,5aaA_TON_3A_5aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6175180838,-2.2332382733,95,0.0043,-1823.1243055,---,15.5
,C_CPC_4ai_C,C_CPC_4aiA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8899040362,-1.6171725427,130,2.6419,-6751.5025368,---,101.35
,4gb_CPC_C_4gb,4gbA_CPC_C_4gbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9900419288,-2.0694257424,152,2.1651,-8388.4345015,---,21.9
,44_TON_A_44,4aa4aaA_TON_A_4aa4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4896245796,-2.0030299658,121,0.0041,-1491.4424955,---,3.5166666667
,6_CSP_6_n2,6aa_CSP_A_6aa_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6528928828,-2.823725303,193,3.7637,-4559.8566078,---,10.0666666667
,444f_CSP_A_444f,4aa4aa4ffA_CSP_A_4aa4aa4ffA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3320706671,-2.1328282668,193,2.0124,-3473.5347096,---,42.6166666667
,6_CSP_A_A,6aaA_CSP_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7328943513,-2.3575942975,77,2.0575,-2033.4261583,---,3
,A_TSP_4_A_m2,A_TSP_4aa_A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4683997002,-1.8160877587,193,0.0039,-4495.6874598,---,61.7166666667
,5555e_CON_A_5555e,5aa5aa5aa5eeA_CON_A_5aa5aa5aa5eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0183234112,-2.5023588596,233,1.9002,-5286.2967757,---,16.8
,E_TON_D_E,E_TON_D_E_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-7.0910145197,-3.3472723284,65,0.0006,-903.9516297,---,2.1833333333
,4_TON_3_4,4aaA_TON_3A_4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7236424808,-2.1518762355,93,0.0018,-1181.6176739,---,19.4333333333
,66i_CSP_A_66i,6aa6iiA_CSP_A_6aa6iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7489490678,-2.4803176387,153,1.8692,-2931.9835967,---,21.7
,A_CCC_4f_A,A_CCC_4ffA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2504365155,-0.5439555633,97,2.1309,-1226.2415476,---,31.1166666667
